Code INSEE,Code Postal,Nuance_interco,annee,dep_x,dep_y,dept,election,president_nom,president_prenom,tour,Nom,prenom,Nuance,voix_pct_
01290,01800,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t2,Paul,VERNAY,LVEC,21.323529411764707
01290,01800,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t2,VERNAY,Paul,LVEC,21.323529411764707
01301,01310,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,BERNARD,Christian,LDVD,55.83524027459954
01301,01310,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,BIENVENU,Bernard,LDVD,44.16475972540046
01303,01450,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t2,GIROUX,Jean-Michel,LDVD,23.844282238442823
01303,01450,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t2,Jean-Michel,GIROUX,LDVD,23.844282238442823
01304,01160,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t1,GUICHARD,Gérard,LDIV,65.48582995951418
01304,01160,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t1,DILAS,Richard,LDIV,34.51417004048583
01305,01190,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,COILLARD,Philippe,LUMP,51.43540669856459
01305,01190,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,PATRIARCA,Cécile,LDIV,48.5645933014354
01306,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,MOUTOT,Jean Paul,LDVD,100.0
01306,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,,,,
01313,01280,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,CHARILLON,Aurélie,LDVD,54.372019077901435
01313,01280,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,LAURENSON,Jean-Paul,LDVG,45.62798092209857
01314,01160,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t2,Gérard,THEVEAUX,LDIV,26.03092783505155
01314,01160,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t2,THEVEAUX,Gérard,LDIV,26.03092783505155
01320,01750,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,VERNOUX,Bertrand,LUMP,63.06517909571344
01320,01750,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,PAQUELIER,François,LDVD,36.93482090428655
01322,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,DUTRUC,Jacky,LDVG,54.66254507985574
01322,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,EYRAUD,Olivier,LDVD,45.33745492014425
01333,01390,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,BARON,Jean-Pierre,LDVD,61.78217821782178
01333,01390,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,ROSENBERG,Armand,LDVG,38.21782178217822
01336,01960,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,QUIVET,Bernard,LDVG,100.0
01336,01960,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01337,01190,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,WILLIG,Jean-Jacques,LDVG,100.0
01337,01190,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,,,,
01339,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,REY,Bernard,LDVD,62.055837563451774
01339,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,BLANC-MONOT,Audrey,LDIV,37.944162436548226
01343,01380,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,CHALTON,Alain,LDVD,100.0
01343,01380,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,,,,
01344,01000,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,FAUVET,Guillaume,LDVG,66.13092904743237
01344,01000,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,BATHIAS,Jean-Luc,LDVD,33.86907095256762
